text,category,problemType,urgency,sentiment
"Kindly note Incorrect electricity bill generated, showing 10x normal consumption. We need urgent intervention.",Electricity Board,Meter Defect,Medium,Negative
Grievance report: Chain snatching incident reported near central park 30 mins ago. Suspect ran away. Please resolve ASAP.,Police,Theft,Emergency,Frustrated
"Help needed: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. We need urgent intervention.",Sanitation,Garbage Pile,High,Frustrated
"Grievance report: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Expecting quick response from authorities.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Sir/Madam, Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. We need urgent intervention.",Water Board,No Supply,High,Frustrated
Issue reported: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
Attention ward officer: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Kindly look into this immediately.,Public Works,Open Manhole,High,Frustrated
"Complaint registered from Ward 14: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Help needed: Volt-ampere drop is causing refrigerator to trip continuously. Please resolve ASAP.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Filing grievance for Auto rickshaw drivers refusing by-meter fare and demanding double charges. Please resolve ASAP.,Transport,Transit Grievance,Low,Negative
Attention ward officer: There is no water supply in our colony since yesterday morning. Pipeline issue. Kindly look into this immediately.,Water Board,No Supply,High,Frustrated
Kindly note Bridge expansion joint damaged and vibrating dangerously under traffic. Please resolve ASAP.,Public Works,Bridge Defect,Emergency,Frustrated
Grievance report: Electric wire hanging dangerous and low near primary school entrance. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,Emergency,Frustrated
"Calling regarding Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Expecting quick response from authorities.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
"Complaint registered from Ward 14: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Please resolve ASAP.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
Filing grievance for Drunk persons creating public nuisance and harassing pedestrians at bus stop. Kindly look into this immediately.,Police,Public Safety,High,Frustrated
"Sir/Madam, Primary Health Centre doctor absent during official duty hours. Kindly look into this immediately.",Healthcare,Doctor Absence,High,Frustrated
Drainage line choked and blocked with plastic waste causing backflow.,Sanitation,Sewage Overflow,High,Frustrated
"Issue reported: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Expecting quick response from authorities.",Electricity Board,Power Outage,Emergency,Frustrated
"Urgent complaint: Drinking water line damaged during digging, water supply completely cut off. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
"Sir/Madam, Bio-medical waste discarded openly behind clinic in residential zone. Over 100 families affected in our locality.",Healthcare,Mosquito Hazard,Emergency,Frustrated
Attention ward officer: Drainage line choked and blocked with plastic waste causing backflow. Please resolve ASAP.,Sanitation,Sewage Overflow,High,Frustrated
"Filing grievance for Incorrect electricity bill generated, showing 10x normal consumption. Kindly look into this immediately.",Electricity Board,Meter Defect,Medium,Negative
"Attention ward officer: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Kindly note Illegal construction and encroachment on public park land. We need urgent intervention.,Municipal Corporation,Encroachment,High,Frustrated
"Complaint registered from Ward 14: Smoke coming out of closed shop, smell of burning wire and gas leak. We need urgent intervention.",Fire & Rescue,Electrical Fire,High,Frustrated
Issue reported: Bridge expansion joint damaged and vibrating dangerously under traffic. Kindly look into this immediately.,Public Works,Bridge Defect,Emergency,Frustrated
Grievance report: Dead animal lying on public road needs immediate sanitary removal. Over 100 families affected in our locality.,Sanitation,Sanitation,High,Frustrated
Help needed: Garbage collection vehicle not coming for last 4 days in Block D. We need urgent intervention.,Sanitation,Garbage Pile,High,Frustrated
Issue reported: Water tanker driver is asking for extra money illegally in Ward 5. Please resolve ASAP.,Water Board,Billing Issue,High,Frustrated
Help needed: Drainage line choked and blocked with plastic waste causing backflow. Kindly look into this immediately.,Sanitation,Sewage Overflow,High,Frustrated
Kindly note City bus route 45 consistently delayed by 1 hour daily during peak morning. We need urgent intervention.,Transport,Bus Delay,Medium,Negative
Urgent complaint: Auto rickshaw drivers refusing by-meter fare and demanding double charges. Over 100 families affected in our locality.,Transport,Transit Grievance,Low,Negative
Calling regarding Dead animal lying on public road needs immediate sanitary removal. Kindly look into this immediately.,Sanitation,Sanitation,High,Frustrated
"Citizen alert: Smoke coming out of closed shop, smell of burning wire and gas leak. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,High,Frustrated
Filing grievance for Government hospital emergency room out of basic lifesaving medicines. Expecting quick response from authorities.,Healthcare,Hospital Supplies,Emergency,Frustrated
Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops.,Fire & Rescue,Garbage Fire,High,Frustrated
Issue reported: Electric wire hanging dangerous and low near primary school entrance. Over 100 families affected in our locality.,Electricity Board,Dangling Wire,Emergency,Frustrated
Citizen alert: Volt-ampere drop is causing refrigerator to trip continuously. Kindly look into this immediately.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Citizen alert: Property tax portal showing wrong calculation and pending dues. Over 100 families affected in our locality.,Municipal Corporation,Property Tax,Low,Negative
"Kindly note Road damaged and cracked after heavy rainfall, need urgent resurfacing. Expecting quick response from authorities.",Public Works,Potholes,Medium,Negative
Attention ward officer: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Kindly look into this immediately.,Public Works,Open Manhole,High,Frustrated
"Urgent complaint: Road damaged and cracked after heavy rainfall, need urgent resurfacing. We need urgent intervention.",Public Works,Potholes,Medium,Negative
Attention ward officer: Food poisoning outbreak reported from unhygienic street vendor stall. Expecting quick response from authorities.,Healthcare,Food Safety,Emergency,Frustrated
"Kindly note Road damaged and cracked after heavy rainfall, need urgent resurfacing. We need urgent intervention.",Public Works,Potholes,Medium,Negative
"Attempted burglary at locked house in B-Block, door lock tampered.",Police,Theft,Emergency,Frustrated
Dead animal lying on public road needs immediate sanitary removal.,Sanitation,Sanitation,High,Frustrated
"Sir/Madam, Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Over 100 families affected in our locality.",Water Board,Pipe Damage,Medium,Negative
"Kindly note Paani ki pipe leak ho rahi hai main road par, bahut paani waste ho raha hai. Expecting quick response from authorities.",Water Board,Pipe Damage,Medium,Negative
Volt-ampere drop is causing refrigerator to trip continuously.,Electricity Board,Voltage Fluctuation,Medium,Neutral
"Complaint registered from Ward 14: Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Expecting quick response from authorities.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
Citizen alert: Fallen tree blocking colony inner road after gusty winds. Kindly look into this immediately.,Municipal Corporation,Civic Amenities,High,Frustrated
"Attention ward officer: Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. Expecting quick response from authorities.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
"Calling regarding Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. Over 100 families affected in our locality.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Urgent complaint: Illegal parking blocking emergency ambulance entry route to building. Please resolve ASAP.,Police,Traffic Violation,High,Frustrated
Citizen alert: Property tax portal showing wrong calculation and pending dues. Kindly look into this immediately.,Municipal Corporation,Property Tax,Low,Negative
Filing grievance for Open manhole on main street dangerous for pedestrians and children! Over 100 families affected in our locality.,Public Works,Open Manhole,Emergency,Frustrated
Grievance report: Auto rickshaw drivers refusing by-meter fare and demanding double charges. We need urgent intervention.,Transport,Transit Grievance,Low,Negative
"Calling regarding Thee pidithullathu, urgent fire station rescue and fire engine required. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
Issue reported: Dead animal lying on public road needs immediate sanitary removal. Expecting quick response from authorities.,Sanitation,Sanitation,High,Frustrated
"Filing grievance for Underpass flooded with 3 feet of water, road completely impassable. Kindly look into this immediately.",Public Works,Potholes,High,Frustrated
Illegal construction and encroachment on public park land.,Municipal Corporation,Encroachment,High,Frustrated
"Attention ward officer: Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Over 100 families affected in our locality.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
Filing grievance for Contaminated yellow muddy water coming out of taps in Shastri Nagar. Over 100 families affected in our locality.,Water Board,Water Quality,High,Negative
"Citizen alert: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Over 100 families affected in our locality.",Water Board,No Supply,High,Frustrated
Kindly note Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Expecting quick response from authorities.,Water Board,Low Pressure,Medium,Neutral
Citizen alert: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
Birth certificate application pending for 45 days with no response from ward.,Municipal Corporation,Certificate Delay,Medium,Negative
Contaminated yellow muddy water coming out of taps in Shastri Nagar.,Water Board,Water Quality,High,Negative
Complaint registered from Ward 14: Fallen tree blocking colony inner road after gusty winds. Please resolve ASAP.,Municipal Corporation,Civic Amenities,High,Frustrated
Stormwater drain slab broken and collapsed into drain on 2nd Avenue.,Public Works,Open Manhole,High,Frustrated
Kindly note Open manhole on main street dangerous for pedestrians and children! Expecting quick response from authorities.,Public Works,Open Manhole,Emergency,Frustrated
"Sir/Madam, Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
Urgent complaint: Trade license renewal delayed despite submitting all documents. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Low,Neutral
Kindly note Thank you water department for repairing the broken pipe quickly today. Expecting quick response from authorities.,Water Board,Pipe Damage,Low,Positive
Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak.,Healthcare,Mosquito Hazard,High,Frustrated
Issue reported: Smart meter showing faulty readings after heavy rainfall. Kindly look into this immediately.,Electricity Board,Meter Defect,Medium,Negative
Kindly note Ambulance 108 helpline not answering call during medical emergency. Expecting quick response from authorities.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Sir/Madam, Vehicle caught fire on main flyover, road blocked, fire brigade and rescue needed immediately. We need urgent intervention.",Fire & Rescue,Vehicle Fire,Emergency,Frustrated
Attention ward officer: Electric wire hanging dangerous and low near primary school entrance. Please resolve ASAP.,Electricity Board,Dangling Wire,Emergency,Frustrated
Attention ward officer: Drainage line choked and blocked with plastic waste causing backflow. Over 100 families affected in our locality.,Sanitation,Sewage Overflow,High,Frustrated
Calling regarding Ambulance 108 helpline not answering call during medical emergency. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
"Help needed: Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Expecting quick response from authorities.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
"Filing grievance for Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Kindly look into this immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Grievance report: Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Power cut scheduled without prior notice in industrial layout. Expecting quick response from authorities.,Electricity Board,Power Outage,Medium,Negative
Filing grievance for Smart meter showing faulty readings after heavy rainfall. Please resolve ASAP.,Electricity Board,Meter Defect,Medium,Negative
"Kindly note Electrical short circuit fire in basement parking, smoke alarm ringing and people trapped. We need urgent intervention.",Fire & Rescue,Electrical Fire,Emergency,Frustrated
Grievance report: Trade license renewal delayed despite submitting all documents. Kindly look into this immediately.,Municipal Corporation,Certificate Delay,Low,Neutral
"Urgent complaint: Underpass flooded with 3 feet of water, road completely impassable. Expecting quick response from authorities.",Public Works,Potholes,High,Frustrated
Urgent complaint: Property tax portal showing wrong calculation and pending dues. Over 100 families affected in our locality.,Municipal Corporation,Property Tax,Low,Negative
Grievance report: Power cut scheduled without prior notice in industrial layout. Please resolve ASAP.,Electricity Board,Power Outage,Medium,Negative
Attention ward officer: Main water pipe burst near Green Park metro station. Water flooding the road! Over 100 families affected in our locality.,Water Board,Pipe Damage,Emergency,Frustrated
"Heavy smoke and flames coming from chemical warehouse, send fire engine immediately.",Fire & Rescue,Building Fire,Emergency,Frustrated
Grievance report: Dead animal lying on public road needs immediate sanitary removal. Over 100 families affected in our locality.,Sanitation,Sanitation,High,Frustrated
Calling regarding Frequent voltage fluctuations damaging home electronics in Ward 9. Kindly look into this immediately.,Electricity Board,Voltage Fluctuation,High,Negative
Issue reported: Contaminated yellow muddy water coming out of taps in Shastri Nagar. Kindly look into this immediately.,Water Board,Water Quality,High,Negative
Filing grievance for Trade license renewal delayed despite submitting all documents. We need urgent intervention.,Municipal Corporation,Certificate Delay,Low,Neutral
Open garbage dump overflowing on pedestrian walkway outside school.,Sanitation,Garbage Pile,High,Frustrated
"Sir/Madam, Sewage water mixing with rainwater and overflowing on main street. We need urgent intervention.",Sanitation,Sewage Overflow,Emergency,Frustrated
Attention ward officer: Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! Over 100 families affected in our locality.,Electricity Board,Transformer Fire,Emergency,Frustrated
Calling regarding There is no water supply in our colony since yesterday morning. Pipeline issue. We need urgent intervention.,Water Board,No Supply,High,Frustrated
Help needed: Drunk persons creating public nuisance and harassing pedestrians at bus stop. Kindly look into this immediately.,Police,Public Safety,High,Frustrated
Citizen alert: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Expecting quick response from authorities.,Healthcare,Mosquito Hazard,High,Frustrated
Kindly note Drainage line choked and blocked with plastic waste causing backflow. Expecting quick response from authorities.,Sanitation,Sewage Overflow,High,Frustrated
Filing grievance for Vehicle stolen from apartment parking lot last night. Please resolve ASAP.,Police,Theft,High,Frustrated
Attention ward officer: Bus driver driving rashly and skipped scheduled stops on Route 23. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
"Sir/Madam, Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. Kindly look into this immediately.",Water Board,Low Pressure,Medium,Neutral
Main water pipe burst near Green Park metro station. Water flooding the road!,Water Board,Pipe Damage,Emergency,Frustrated
Attention ward officer: Dead animal lying on public road needs immediate sanitary removal. Kindly look into this immediately.,Sanitation,Sanitation,High,Frustrated
"Sir/Madam, Traffic signal violation causing near accidents daily at cross junction. Please resolve ASAP.",Police,Traffic Violation,Medium,Negative
Help needed: Low water pressure in Sector 4 Ward 12. Kindly inspect the pump house. We need urgent intervention.,Water Board,Low Pressure,Medium,Neutral
"Grievance report: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Please resolve ASAP.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Help needed: Birth certificate application pending for 45 days with no response from ward. Expecting quick response from authorities.,Municipal Corporation,Certificate Delay,Medium,Negative
"Issue reported: Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Please resolve ASAP.",Fire & Rescue,Building Fire,Emergency,Frustrated
"Issue reported: Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Kindly look into this immediately.",Electricity Board,Power Outage,Emergency,Frustrated
"Urgent complaint: Thee pidithullathu, urgent fire station rescue and fire engine required. Over 100 families affected in our locality.",Fire & Rescue,Building Fire,Emergency,Frustrated
Help needed: Drunk persons creating public nuisance and harassing pedestrians at bus stop. Kindly look into this immediately.,Police,Public Safety,High,Frustrated
Complaint registered from Ward 14: Thank you water department for repairing the broken pipe quickly today. Please resolve ASAP.,Water Board,Pipe Damage,Low,Positive
Complaint registered from Ward 14: Volt-ampere drop is causing refrigerator to trip continuously. Over 100 families affected in our locality.,Electricity Board,Voltage Fluctuation,Medium,Neutral
Filing grievance for Drainage line choked and blocked with plastic waste causing backflow. We need urgent intervention.,Sanitation,Sewage Overflow,High,Frustrated
Complaint registered from Ward 14: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. Please resolve ASAP.,Healthcare,Mosquito Hazard,High,Frustrated
Citizen alert: Massive potholes on main road causing severe traffic jams and bike accidents. Expecting quick response from authorities.,Public Works,Potholes,High,Frustrated
Help needed: Primary Health Centre doctor absent during official duty hours. Please resolve ASAP.,Healthcare,Doctor Absence,High,Frustrated
Kindly note Bridge expansion joint damaged and vibrating dangerously under traffic. We need urgent intervention.,Public Works,Bridge Defect,Emergency,Frustrated
Citizen alert: Traffic light malfunction at Busy Cross junction creating chaotic congestion. Expecting quick response from authorities.,Transport,Traffic Signal,High,Negative
"Attention ward officer: Incorrect electricity bill generated, showing 10x normal consumption. Expecting quick response from authorities.",Electricity Board,Meter Defect,Medium,Negative
Help needed: Ambulance 108 helpline not answering call during medical emergency. Kindly look into this immediately.,Healthcare,Hospital Supplies,Emergency,Frustrated
Traffic light malfunction at Busy Cross junction creating chaotic congestion.,Transport,Traffic Signal,High,Negative
Calling regarding Public toilet in market complex completely uncleaned and unusable. We need urgent intervention.,Sanitation,Sanitation,Medium,Negative
Calling regarding City bus route 45 consistently delayed by 1 hour daily during peak morning. Please resolve ASAP.,Transport,Bus Delay,Medium,Negative
"Grievance report: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Please resolve ASAP.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
Help needed: Property tax portal showing wrong calculation and pending dues. Kindly look into this immediately.,Municipal Corporation,Property Tax,Low,Negative
Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire!,Electricity Board,Transformer Fire,Emergency,Frustrated
Attention ward officer: Trade license renewal delayed despite submitting all documents. Over 100 families affected in our locality.,Municipal Corporation,Certificate Delay,Low,Neutral
Kindly note Drainage line choked and blocked with plastic waste causing backflow. Please resolve ASAP.,Sanitation,Sewage Overflow,High,Frustrated
"Sir/Madam, Massive potholes on main road causing severe traffic jams and bike accidents. Expecting quick response from authorities.",Public Works,Potholes,High,Frustrated
"Issue reported: Attempted burglary at locked house in B-Block, door lock tampered. We need urgent intervention.",Police,Theft,Emergency,Frustrated
"Sir/Madam, Sewage water mixing with rainwater and overflowing on main street. Expecting quick response from authorities.",Sanitation,Sewage Overflow,Emergency,Frustrated
Calling regarding Property tax portal showing wrong calculation and pending dues. Expecting quick response from authorities.,Municipal Corporation,Property Tax,Low,Negative
"Attention ward officer: Underpass flooded with 3 feet of water, road completely impassable. Over 100 families affected in our locality.",Public Works,Potholes,High,Frustrated
Citizen alert: Smart meter showing faulty readings after heavy rainfall. Expecting quick response from authorities.,Electricity Board,Meter Defect,Medium,Negative
Citizen alert: Open garbage dump overflowing on pedestrian walkway outside school. Please resolve ASAP.,Sanitation,Garbage Pile,High,Frustrated
"Grievance report: Kachra nahi uthaya gaya 3 din se, severe smell in entire lane. Expecting quick response from authorities.",Sanitation,Garbage Pile,High,Frustrated
Citizen alert: Fire in garbage dump yard emitting toxic black smoke and spreading to nearby shops. Kindly look into this immediately.,Fire & Rescue,Garbage Fire,High,Frustrated
Attention ward officer: Bus driver driving rashly and skipped scheduled stops on Route 23. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Grievance report: Open garbage dump overflowing on pedestrian walkway outside school. Expecting quick response from authorities.,Sanitation,Garbage Pile,High,Frustrated
"Sir/Madam, Bus shelter collapsed and broken glass scattered around waiting area. Kindly look into this immediately.",Transport,Transit Grievance,Medium,Negative
"Calling regarding Smoke coming out of closed shop, smell of burning wire and gas leak. We need urgent intervention.",Fire & Rescue,Electrical Fire,High,Frustrated
"Sir/Madam, Bijli chali gayi hai 4 ghante se, transformer se dhuwa nikla hai. Kindly look into this immediately.",Electricity Board,Power Outage,Emergency,Frustrated
Complaint registered from Ward 14: Bridge expansion joint damaged and vibrating dangerously under traffic. Please resolve ASAP.,Public Works,Bridge Defect,Emergency,Frustrated
Help needed: Dead animal lying on public road needs immediate sanitary removal. We need urgent intervention.,Sanitation,Sanitation,High,Frustrated
Citizen alert: Primary Health Centre doctor absent during official duty hours. We need urgent intervention.,Healthcare,Doctor Absence,High,Frustrated
"Issue reported: Attempted burglary at locked house in B-Block, door lock tampered. Please resolve ASAP.",Police,Theft,Emergency,Frustrated
"Calling regarding Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Kindly look into this immediately.",Water Board,No Supply,High,Frustrated
Citizen alert: Frequent voltage fluctuations damaging home electronics in Ward 9. Expecting quick response from authorities.,Electricity Board,Voltage Fluctuation,High,Negative
Help needed: There is no water supply in our colony since yesterday morning. Pipeline issue. Please resolve ASAP.,Water Board,No Supply,High,Frustrated
"Drinking water line damaged during digging, water supply completely cut off.",Water Board,No Supply,High,Frustrated
"Kindly note Fire emergency at local textile godown, blaze spreading rapidly to adjoining houses. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Filing grievance for Ambulance 108 helpline not answering call during medical emergency. Over 100 families affected in our locality.,Healthcare,Hospital Supplies,Emergency,Frustrated
Urgent complaint: Traffic signal violation causing near accidents daily at cross junction. Expecting quick response from authorities.,Police,Traffic Violation,Medium,Negative
Grievance report: Illegal construction and encroachment on public park land. Kindly look into this immediately.,Municipal Corporation,Encroachment,High,Frustrated
Help needed: Illegal parking blocking emergency ambulance entry route to building. Kindly look into this immediately.,Police,Traffic Violation,High,Frustrated
"Attention ward officer: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
